"","nct_id","trial_title","Conditions","condition","Interventions","intervention_type","Sponsor_Collaborators","sponsor_class","fda.drug","fda.device","Gender","min.age","max.age","Enrollment","Start_Date","Completion_Date","title","p","p.desc","method","param.value","param.type","ci","ci.side","ci.l","ci.u"
"1","NCT00007020","Compassionate Treatment of Patients With Inborn Errors of Bile Acid Metabolism With Cholic Acid","Infantile Refsum's Disease",0,"Cholic Acids","Drug","Retrophin, Inc.","Industry",0,0,"All","N/A","N/A","79","January 1992","December 2009","Determination of changes in synthesis of atypical bile acids in urine by mass spectrometry (FAB MS)","0","0","0","0","0","0","0","0","0"
"2","NCT00036270","Randomized Phase III Study Of Exemestane (Aromasin) For 5 Years Versus Tamoxifen for 2.5 to 3 Years Followed By Exemestane","Breast Neoplasms",0,"exemestane (Aromasin)","Drug","Pfizer","Industry",0,0,"Female","50 Years","N/A","9779","August 2001","October 2008","Disease Free Survival (DFS): Number of Events (Disease Relapse or Death) From Baseline up to 2.75 Years","0.118","0","Log Rank","0.89","Hazard Ratio (HR)","95","2-Sided","0.77","1.03"
"3","NCT00038948","Study Comparing Conversion to Sirolimus vs. Continued Use of Calcineurin Inhibitors in Kidney Transplant Recipients","Renal Transplantation",0,"Sirolimus","Drug","Wyeth is now a wholly owned subsidiary of Pfizer","Industry",0,0,"All","13 Years","N/A","830","January 2002","May 2008","Nankivell Glomerular Filtration Rate (GFR)","0.575","Analysis of covariance p-value","ANCOVA","-2.68","Weighted difference","95","0","-12.27","6.91"
"4","NCT00048724","Peg-Intron for Prevention of Disease Progress in Chronic Hepatitis C Patients With Cirrhosis (Study P02569)","Chronic Hepatitis C",0,"peginterferon alfa-2b (SCH 54031)","Biological","Merck Sharp & Dohme Corp.","Industry",0,0,"All","18 Years","65 Years","631","June 2002","April 2008","Time to Observation of the First Clinical Event Experienced by a Subject","0.1439","0","Cox Proportional Hazards Model","1.452","Hazard Ratio (HR)","95","0","0.880","2.396"
"5","NCT00049842","Prevention of Disease Progress in Chronic Hepatitis C Patients With Liver Fibrosis (Study P02570AM2)(COMPLETED)","Chronic Hepatitis C",0,"peginterferon alfa-2b (SCH 54031)","Biological","Merck Sharp & Dohme Corp.","Industry",0,0,"All","18 Years","65 Years","540","October 2002","October 2009","Fibrosis Response Status (ie, Improvement, no Change, or the Worsening of the Fibrosis Score in Participants With Baseline METAVIR Fibrosis Score of F2 or F3).","0","0","0","0","0","0","0","0","0"
"6","NCT00050011","Zoledronic Acid - Letrozole Adjuvant Synergy Trial (ZFAST) - Cancer Treatment Related Bone Loss in Postmenopausal Women With Estrogen Receptor Positive and/or Progesterone Receptor Positive Breast Cancer Receiving Adjuvant Hormonal Therapy","Breast Neoplasms",0,"Zoledronic Acid","Drug","Novartis Pharmaceuticals","Industry",0,0,"Female","18 Years","85 Years","602","September 2002","January 2009","Percent Change From Baseline in Lumbar Spine (L1-L4) Bone Mineral Density (BMD)","0","0","0","0","0","0","0","0","0"
"7","NCT00065507","Comparison of Entecavir to Adefovir in Chronic Hepatitis B Virus (HBV) Patients With Hepatic Decompensation","Hepatitis B",0,"Entecavir (ETV)","Drug","Bristol-Myers Squibb","Industry",0,0,"All","16 Years","N/A","195","August 2003","October 2008","Change From Baseline in Hepatitis B Virus (HBV) DNA by Polymerase Chain Reaction (PCR) at Week 24","<0.0001","0","Regression, Linear","-1.74","Mean Difference (Final Values)","95","2-Sided","-2.30","-1.18"
"8","NCT00069784","The ORIGIN Trial (Outcome Reduction With Initial Glargine Intervention)","Diabetes Mellitus, Non-Insulin-Dependent",0,"insulin glargine (HOE901)","Drug","Sanofi","Industry",0,0,"All","50 Years","N/A","12537","August 2003","December 2011","Composite of the First Occurrence of Cardiovascular (CV) Death, Nonfatal Myocardial Infarction (MI) or Nonfatal Stroke","0.6273","For the analysis of the two coprimary efficacy outcomes, the overall Type 1 error was partitioned. The first coprimary outcome was tested at 4.4%, whereas the second coprimary outcome was tested at 1% (weighted Hochberg procedure).","Log Rank","1.022","Cox Proportional Hazard","95","2-Sided","0.937","1.114"
"9","NCT00074906","Venticute in Patients With Pneumonia or Aspiration of Gastric Contents and Intubation/Ventilation/Oxygenation Impairment (BY2001/M1-007)","Pneumonia",0,"Venticute","Drug","Takeda","Industry",0,0,"All","12 Years","85 Years","1200","November 2003","March 2008","Survival on day 28","0","0","0","0","0","0","0","0","0"
"10","NCT00075218","A Study To Assess The Safety And Efficacy Of SU11248 In Patients With Gastrointestinal Stromal Tumor(GIST)","Gastrointestinal Stromal Tumor",0,"Placebo","Drug","Pfizer","Industry",0,0,"All","18 Years","N/A","361","December 2003","May 2008","Time to Tumor Progression (TTP) as Assessed by Imaging Studies at End of Double-blind Treatment Phase","<0.001","The nominal levels of significance for the interim and final analyses were determined at the time of the analyses using the Lan-DeMets procedure with an O’Brien-Fleming stopping rule.","Log Rank","0.329","Hazard Ratio (HR)","95","0","0.233","0.466"
