"","nct_id","trial_title","Conditions","condition","Interventions","intervention_type","Sponsor_Collaborators","sponsor_class","fda.drug","fda.device","Gender","min.age","max.age","Enrollment","Start_Date","Completion_Date","title","p","p.desc","method","param.value","param.type","ci","ci.side","ci.l","ci.u"
"1","NCT00103506","Study of DOXIL/CAELYX (Pegylated Liposomal Doxorubicin) and VELCADE (Bortezomib) or VELCADE Monotherapy for the Treatment of Relapsed Multiple Myeloma","Multiple Myeloma",0,"Bortezomib (VELCADE)","Drug","Janssen Research & Development, LLC","Industry",0,0,"All","18 Years","N/A","646","December 2004","May 2014","Time to Progression (TTP)","0","0","0","0","0","0","0","0","0"
"2","NCT00127881","Study of Human Monoclonal Antibody to Treat Mycosis Fungoides and Sezary Syndrome","Mycosis Fungoides",0,"HuMax-CD4 (zanolimumab)","Drug","Emergent Product Development Seattle LLC","Industry",0,0,"All","18 Years","N/A","76","July 2005","February 2014","PGA Score","0","0","0","0","0","0","0","0","0"
"3","NCT00129545","WATCHMAN Left Atrial Appendage System for Embolic PROTECTion in Patients With Atrial Fibrillation","Atrial Fibrillation",0,"WATCHMAN Left Atrial Appendage Closure Technology","Device","Boston Scientific Corporation","Industry",0,0,"All","18 Years","N/A","800","February 2005","August 2013","Composite of Stroke, Systemic Embolism and Cardiovascular or Unexplained Death","0","0","0","0.61","Risk Ratio (RR)","95","2-Sided","0.42","1.07"
"4","NCT00163189","Evolution Of Growth Rate In Children With Growth Retardation Due to Glucocorticosteroid Therapy And Treated By Genotonorm","Growth Hormone Deficiency",0,"Somatropin","Drug","Pfizer","Industry",0,0,"All","N/A","N/A","98","January 2005","December 2014","Change From Baseline in Height Standard Deviation Score (SDS) for Chronological Age (CA) at Month 36: Full Analysis Population","<0.001","0","Student’s paired t-test","0","0","0","0","0","0"
"5","NCT00202878","IMPROVE-IT: Examining Outcomes in Subjects With Acute Coronary Syndrome: Vytorin (Ezetimibe/Simvastatin) vs Simvastatin (P04103)","Hypercholesterolemia",0,"ezetimibe/simvastatin","Drug","Merck Sharp & Dohme Corp.","Industry",0,0,"All","18 Years","N/A","18144","October 17, 2005","September 18, 2014","Time to First Occurrence of Cardiovascular Death, Major Coronary Event, or Non-fatal Stroke (Kaplan-Meier Estimate of Percentage of Participants Experiencing a Qualifying Event)","0.016","0","Cox proportional hazard model","0.936","Hazard Ratio (HR)","95","2-Sided","0.887","0.988"
"6","NCT00271518","Treatment of Children With Insufficient Secretion of Growth Hormone","Growth Hormone Deficiency (GHD)",0,"growth hormone (somatropin)","Drug","LG Life Sciences","Industry",0,0,"All","3 Years","11 Years","144","September 2005","December 2013","Height velocity at the end of 12 months treatment","0","0","0","0","0","0","0","0","0"
"7","NCT00297232","Natalizumab (Tysabri) Re-Initiation of Dosing","Relapsing-Remitting Multiple Sclerosis",0,"Natalizumab","Drug","Biogen","Industry",0,0,"All","18 Years","N/A","1094","March 2006","April 2014","Time to 24-week Confirmed Expanded Disability Status Scale (EDSS) Progression","0","0","0","0","0","0","0","0","0"
"8","NCT00319501","Efficacy and Safety of Diazepam in the Management of Refractory Epilepsy in Selected Patients Who Require Intermittent Medical Intervention for Acute Repetitive Seizures.","Seizures",0,"Placebo","Drug","Pfizer","Industry",0,0,"All","2 Years","N/A","234","January 2006","July 2014","Time to Next Seizure or Rescue Medication During the Double-blind Period (Kaplan-Meier 50th Percentile)","0.012","p-value is adjusted. All statistical tests were 2-sided and employed a level of significance of alpha=0.05.","Cox Proportional Hazard","0.55","Hazard Ratio (HR)","95","2-Sided","0.34","0.88"
"9","NCT00320710","Continued Efficacy and Safety of Zoledronic Acid (q 4 Wks vs. q 12 Wks) in the 2nd Year of Treatment in Patients With Bone Metastases From Breast Cancer","Breast Cancer",0,"Zoledronic acid","Drug","Novartis Pharmaceuticals","Industry",0,0,"Female","18 Years","N/A","416","February 2006","July 2013","Proportion of Patients Who Experienced at Least One Skeletal Related Event (SRE)","0","0","0","0","0","0","0","0","0"
"10","NCT00332202","PRELUDE:Study to Investigate the Prevention of Relapse in Lymphoma Using Daily Enzastaurin","Non Hodgkin Lymphoma",0,"enzastaurin","Drug","Eli Lilly and Company","Industry",0,0,"All","18 Years","N/A","709","June 2006","April 2013","Overall disease free survival","0","0","0","0","0","0","0","0","0"
"11","NCT00338286","A Study of Epoetin Alfa Plus Standard Supportive Care Versus Standard Supportive Care Only in Anemic Patients With Metastatic Breast Cancer Receiving Standard Chemotherapy","Breast Cancer",0,"Standard supportive care (packed RBC transfusion)","Other","Janssen Research & Development, LLC","Industry",0,0,"Female","18 Years","99 Years","2098","March 2, 2006","July 7, 2014","Progression Free Survival","0","0","0","0","0","0","0","0","0"
"12","NCT00359632","Study to Evaluate Eye Function in Patients Taking Linezolid for Six Weeks or Greater","Optic Nerve Diseases",0,"Zyvox - linezolid","Drug","Pfizer","Industry",0,0,"All","18 Years","N/A","34","November 2008","December 2013","Percentage of Participants With an Adverse Event","0","0","0","0","0","0","0","0","0"
"13","NCT00373425","A Study of Erlotinib (Tarceva) After Surgery With or Without Adjuvant Chemotherapy in Non-Small Cell Lung Carcinoma (NSCLC) Patients Who Have Epidermal Growth Factor Receptor (EGFR) Positive Tumors","Non-small Cell Lung Cancer",0,"Erlotinib","Drug","OSI Pharmaceuticals","Industry",0,0,"All","18 Years","N/A","1252","September 2006","April 2013","Disease Free Survival (DFS)","0.3235","If the primary analysis of DFS was not statistically significant, the hierarchical testing procedure would stop and all key secondary efficacy analyses would be nonsignificant; any further analysis of these outcomes would be considered exploratory.","Log Rank","0.90","Hazard Ratio (HR)","95","2-Sided","0.741","1.104"
"14","NCT00378014","Preservation of Renal Function in Liver Transplant Recipients With Certican Therapy","Liver Transplantation",0,"everolimus","Drug","Novartis Pharmaceuticals","Industry",0,0,"All","18 Years","70 Years","276","August 2006","January 2013","Calculated Glomerular Filtration Rate (cGFR)","0","0","0","0","0","0","0","0","0"
"15","NCT00412893","Isavuconazole (BAL8557) for Primary Treatment of Invasive Aspergillosis","Invasive Fungal Infection",0,"Isavuconazole","Drug","Astellas Pharma Inc","Industry",0,0,"All","18 Years","N/A","527","March 2007","March 2013","All-cause Mortality Through Day 42","0","0","0","-1.0","Adjusted Treatment Difference","95","2-Sided","-7.759","5.683"
"16","NCT00416208","Consolidation Therapy With Bortezomib in Elderly Patients With Multiple Myeloma","Multiple Myeloma",0,"Bortezomib","Drug","Janssen-Cilag G.m.b.H","Industry",0,0,"All","61 Years","75 Years","154","October 2006","May 2013","The difference in event-free survival time will be compared between both arms","0","0","0","0","0","0","0","0","0"
"17","NCT00416273","A Study of Bortezomib as Consolidation Therapy in Patients With Multiple Myeloma","Multiple Myeloma",0,"Bortezomib","Drug","Janssen-Cilag G.m.b.H","Industry",0,0,"All","18 Years","60 Years","217","December 2006","May 2013","Number of patients with event-free survival (PFS)","0","0","0","0","0","0","0","0","0"
"18","NCT00420888","ABR-217620/Naptumomab Estafenatox With Interferon-alpha (IFN-alpha) Compared to IFN-alpha Alone in Patients With Advanced Renal Cell Carcinoma","Renal Cell Carcinoma",0,"ABR-217620/naptumomab estafenatox","Drug","Active Biotech AB","Industry",0,0,"All","18 Years","N/A","526","January 2007","January 2013","Time to death","0","0","0","0","0","0","0","0","0"
"19","NCT00436748","Study to Assess Darbepoetin Alfa Dosing for the Correction of Anemia in Pediatric Patients With Chronic Kidney Disease","Anemia",0,"Darbepoetin Alfa","Drug","Amgen","Industry",0,0,"All","1 Year","18 Years","116","September 2008","March 2014","Proportion of Participants Achieving Hemoglobin ≥ 10.0 g/dL","<0.001","0","Exact","0","0","0","0","0","0"
"20","NCT00448916","Open-Label Extension Study Of Safety And Tolerability Of Pregabalin In Pediatric Patients With Partial-Onset Seizures","Epilepsies, Partial",0,"Pregabalin","Drug","Pfizer","Industry",0,0,"All","1 Month","16 Years","54","May 2007","October 2013","Number of Participants With Adverse Events (AE).","0","0","0","0","0","0","0","0","0"
"21","NCT00477269","Safety and Efficacy of Imatinib Mesylate in Patients With Pulmonary Arterial Hypertension","Pulmonary Arterial Hypertension",0,"Imatinib mesylate","Drug","Novartis Pharmaceuticals","Industry",0,0,"All","18 Years","N/A","59","April 2006","January 2014","Number of Patients With Adverse Events (AEs), Serious Adverse Events (SAEs) and Death During the Core","0","0","0","0","0","0","0","0","0"
"22","NCT00477282","Karenitecin Versus Topotecan in Patients With Advanced Epithelial Ovarian Cancer","Ovarian Cancer",0,"Karenitecin","Drug","BioNumerik Pharmaceuticals, Inc.","Industry",0,0,"Female","18 Years","N/A","509","August 2007","June 2013","Progression Free Survival","0","0","0","0","0","0","0","0","0"
"23","NCT00484458","Wallis Stabilization System for Low Back Pain","Low Back Pain",0,"Interspinous process and dynamic stabilization (Wallis System)","Device","Zimmer Spine","Industry",0,0,"All","18 Years","60 Years","340","January 2007","November 2013","Non-inferior to commercially available lumber TDR after 24 months.","0","0","0","0","0","0","0","0","0"
"24","NCT00490139","ALTTO (Adjuvant Lapatinib And/Or Trastuzumab Treatment Optimisation) Study; BIG 2-06/N063D","Neoplasms, Breast",0,"Lapatinib","Drug","Novartis","Industry",0,0,"All","18 Years","N/A","8381","May 2007","December 2013","Disease-free Survival (DFS)","0.048","0","Stratified log-rank test","0.84","Hazard Ratio (HR)","97.5","0","0.70","1.02"
"25","NCT00511147","IGIV Study for Chronic ITP Patients Ages 3-70","Idiopathic Thrombocytopenic Purpura",0,"IGIV3I Grifols 10%","Biological","Grifols Biologicals Inc.","Industry",1,0,"All","3 Years","70 Years","64","May 2008","April 2014","Response Rate","0","0","0","0","0","0","0","0","0"
"26","NCT00521586","Study Evaluating 13 Valent Pneumococcal Conjugate Vaccine With Trivalent Inactivated Influenza Vaccine","Influenza",0,"13 valent pneumococcal conjugate vaccine","Biological","Pfizer","Industry",0,0,"All","50 Years","59 Years","1116","September 2007","December 2013","Percentage of Participants Achieving at Least 4-fold Increase in Titer for Concomitant Trivalent Inactivated Influenza Vaccine (TIV) Antigens 1 Month After Dose 1","0","0","0","2.8","percent difference","95","2-Sided","-1.8","7.4"
"27","NCT00543543","Broad Spectrum HPV (Human Papillomavirus) Vaccine Study in 16-to 26-Year-Old Women (V503-001)","Cervical Cancer",0,"Comparator: GARDASIL","Biological","Merck Sharp & Dohme Corp.","Industry",0,0,"Female","16 Years","26 Years","14840","September 24, 2007","April 10, 2013","Base Study: Combined Incidence of HPV Type 31/33/45/52/58-related Disease (Test of Hypothesis)","<0.0001","0","Exact test, 1-sided","96.7","Vaccine efficacy","95","2-Sided","80.9","99.8"
"28","NCT00552344","A Study to Evaluate Safety of Long Term Therapy of Certolizumab Pegol Patients With Crohn's Disease","Crohn Disease",0,"Cimzia","Biological","UCB BIOSCIENCES GmbH","Industry",0,0,"All","18 Years","75 Years","403","May 2008","December 2014","Percentage of Subjects With at Least One Adverse Event (AE) During the Duration of the Study C87088 (up to 272 Weeks)","0","0","0","0","0","0","0","0","0"
"29","NCT00556374","Study to Determine Treatment Effects of Denosumab in Patients With Breast Cancer Receiving Aromatase Inhibitor Therapy","Breast Cancer",0,"Placebo","Drug","Amgen","Industry",0,0,"Female","45 Years","100 Years","3420","December 2006","March 2014","Time to First Clinical Fracture","<0.0001","0","Cox Proportional Hazard Model","0.504","Hazard Ratio (HR)","95","2-Sided","0.39","0.65"
"30","NCT00561990","Nimotuzumab in Adults With Pancreatic Cancer","Pancreatic Cancer, Advanced or Metastatic",0,"Nimotuzumab","Drug","Oncoscience AG","Industry",0,0,"All","18 Years","100 Years","188","September 2007","January 2013","Time to tumor progression (TTP) and overall survival (OS) in chemotherapy-naive patients. To assess the efficacy of Nimotuzumab as add on therapy to Gemcitabine in comparison with Gemcitabine and placebo","0","0","0","0","0","0","0","0","0"
"31","NCT00567853","Safety and Efficacy Study of the Sorin 3D Annuloplasty Ring For Mitral Repair","Mitral Valve Regurgitation",0,"Implantation of the MEMO 3D Annuloplasty Ring","Device","Sorin Group USA, Inc.","Industry",0,0,"All","18 Years","N/A","278","August 2007","June 2013","The percentage of patients with successful repair at 6 months.","0","0","0","0","0","0","0","0","0"
