"","nct_id","trial_title","Conditions","condition","Interventions","intervention_type","Sponsor_Collaborators","Gender","Age_Groups","Enrollment","Start_Date","Completion_Date","title","z","direction","m2"
"1","NCT00988208","Study to Evaluate Safety and Effectiveness of Lenalidomide in Combination With Docetaxel and Prednisone for Patients With Castrate-Resistant Prostate Cancer","Prostate Cancer","cancer","Drug: Lenalidomide|Drug: Docetaxel|Drug: Prednisone|Drug: Placebo","drug","Celgene Corporation","Male","Adult|Senior",1059,"November 2009","May 2008","Overall Survival (OS)",-3.1382,"-1",24101
"2","NCT01151137","Permanent Atrial fibriLLAtion Outcome Study Using Dronedarone on Top of Standard Therapy","Atrial Fibrillation","cardiovascular","Drug: Dronedarone|Drug: Placebo (for Dronedarone)","drug","Sanofi","Both","Adult|Senior",3236,"July 2010","February 2009","Overview of the Two Co-primary Outcomes",-3.105434027,"-1",24110
"3","NCT00373113","A Clinical Trial Comparing Efficacy And Safety Of Sunitinib And Capecitabine","Breast Neoplasms","cancer","Drug: Capecitabine|Drug: Sunitinib malate","drug","Pfizer","Female","Adult|Senior",482,"November 2006","July 2008","Progression-Free Survival (PFS)",-3.090232306,"-1",24103
"4","NCT00373256","A Study Of SU011248 Plus Paclitaxel Versus Bevacizumab Plus Paclitaxel In Patients With Advanced Breast Cancer","Breast Neoplasms","cancer","Drug: Sunitinib|Drug: paclitaxel|Drug: bevacizumab|Drug: paclitaxel","drug","Pfizer","Both","Adult|Senior",488,"November 2006","August 2008","Progression-Free Survival (PFS)",-2.988882267,"-1",24104
"5","NCT00768300","(ARTEMIS-IPF) Randomized, Placebo-Controlled Study to Evaluate Safety and Effectiveness of Ambrisentan in IPF","Idiopathic Pulmonary Fibrosis","respiratory","Drug: Ambrisentan|Drug: Placebo","drug","Gilead Sciences","Both","Adult|Senior",494,"December 2008","February 2008","Time to Death or Disease (IPF) Progression.",-2.575829304,"-1",24098
"6","NCT00367133","Intravitreal Triamcinolone Acetonide Versus Laser for Diabetic Macular Edema","Diabetic Macular Edema","other","Procedure: Standard of Care Group|Drug: 1mg triamcinolone acetonide|Drug: 4mg triamcinolone acetonide","drug","Diabetic Retinopathy Clinical Research Network|National Eye Institute (NEI)|Allergan","Both","Adult|Senior",840,"July 2004","September 2010","Change In Visual Acuity [Measured With Electronic-Early Treatment Diabetic Retinopathy Study (E-ETDRS)]Baseline to 2 Years.",-2.326347874,"-1",24129
"7","NCT00988091","Investigation of 1.2% Sodium Hyaluronate for Treatment of Painful Chronic Osteoarthritis of the Knee","Osteoarthritis of the Knee","other","Device: 1.2% Sodium Hyaluronate|Device: Buffered Saline","device","Ferring Pharmaceuticals","Both","Adult|Senior",596,"September 2009","September 2010","Change From Baseline in the Visual Analogue Score (VAS) Pain Score of the 50-foot Walk Test at Week 26",-2.1201,"-1",24129
"8","NCT00099268","Efficacy and Safety of Carbidopa/Levodopa/Entacapone in Patients With Parkinson's Disease Requiring Initiation of Levodopa Therapy","Parkinson's Disease","mental health","Drug: Carbidopa/levodopa/entacapone|Drug: Immediate release carbidopa/levodopa","drug","Novartis Pharmaceuticals|Orion Corporation, Orion Pharma|Novartis","Both","Adult|Senior",747,"September 2004","March 2009","Time to First Occurrence of Dyskinesia",-2.053748911,"-1",24111
"9","NCT00545740","Prevention of Recurrence of Diverticulitis","Diverticulitis","other","Drug: SPD476 (1.2g)|Drug: SPD476 (2.4 g)|Drug: SPD476 (4.8 g)|Drug: Placebo","drug","Shire","Both","Adult|Senior",590,"November 2007","April 2009","",-1.986300204,"-1",24112
"10","NCT00596830","Carboplatin And Paclitaxel With Or Without CP-751, 871 (An IGF-1R Inhibitor) For Advanced NSCLC Of Squamous, Large Cell And Adenosquamous Carcinoma Histology","Carcinoma, Squamous Cell|Carcinoma, Adenosquamous|Carcinoma, Large Cell|Carcinoma, Non-","cancer","Drug: CP-751,871 (Figitumumab)|Drug: Carboplatin|Drug: Paclitaxel|Drug: Carboplatin|Drug: Paclitaxel","drug","Pfizer","Both","Adult|Senior",681,"April 2008","March 2008","Overall Survival (OS)",-1.852179859,"-1",24099
